"Hash","FilePath"
"F105EDD16E38F5C0044CC7139E4084A04B0AE3212171A1C7F6FE759F3F5F77FC","C:\Windows\System32\drivers\iaLPSS2i_I2C_CNL.sys"
"A92487129B81376471C842B9932FF3A7B3ABBBB89797978E3FDEAF71A6FD5E3F","C:\Windows\System32\drivers\iaLPSS2i_I2C_GLK.sys"
"3F1F9EC7571D0F82D3F5BBA298965491260708F05EBAAA2CC23483521A5FF079","C:\Windows\System32\drivers\iaLPSS2i_I2C.sys"
"F77696AE55B992154A3B35F7660BD73E0AB35A6ECEEC1931C0D35748CFA605C0","C:\Windows\System32\drivers\iaLPSSi_GPIO.sys"
"8445E41BAB21964C7F014742795E462BDDC6C37A261990B3D6BF4E637A719547","C:\Windows\System32\drivers\iaLPSSi_I2C.sys"
"A9EAB4F786A8C5A8025F774216687B73A9A64C68C3B41D97B984A2A255D07931","C:\Windows\System32\drivers\iaStorAC.sys"
"DFC442C473D6AE8885AC1DC94DBA832BC455F23EA69C7F1C7EBE6BDA0C051A96","C:\Windows\System32\drivers\iaStorAfs.sys"
"A46A34E6DC1573D29B87AD22B336C6A7358A657A416B1643C0D3DAD671D81692","C:\Windows\System32\drivers\iaStorAVC.sys"
"7E862C0367B382ADE309DEA6BEB95FD2EED15CAE8BDDA37658D66484C00F88BB","C:\Windows\System32\drivers\iaStorV.sys"
"4EB00E751F4517EDEFFEE1225EF5E188B352D062B67F4B7D8B885344FEBF141D","C:\Windows\System32\drivers\ibbus.sys"
"CC087910237E24982411F163216A55D43F4C61E52F65C4D11505D444CECA804A","C:\Windows\System32\drivers\ICCWDT.sys"
"5B701CF260F3C3696DD022E036FCC55A46F9526E92E64E4D034DE3A246567D9E","C:\Windows\System32\drivers\IndirectKmd.sys"
"76F3CD3DE1183C6EBD83C2842D8DB5CBF67FDA28B1EE0F8C79AB2710812C588D","C:\Windows\System32\drivers\intelide.sys"
"60E6777F7CB81EC87836A05161BE034F1535941EA9890098294C3F766C72E0C6","C:\Windows\System32\drivers\intelpep.sys"
"AF0C3C9AE1DB6F60C65C0A046F01C740BD47E10B73FBF0A3A05BB0AB8542362B","C:\Windows\System32\drivers\intelpmax.sys"
"7FF092C76ABF84060BA5A644C23E78C0C80B3542CC50077A70E00BC948A09698","C:\Windows\System32\drivers\IntelPMT.sys"
"44B25CB2302C20AB9968B898238BBE69E06D0D9441B1D9116C81B7648CADCFBD","C:\Windows\System32\drivers\intelppm.sys"
"F35E1F621E1694495EE51306FE950739F3A83CDE80D005476D1E960303EEF53B","C:\Windows\System32\drivers\iorate.sys"
"8935784AF4F081C80A791B4EF6846E44D7D54A83C4683F65B2D7DA63C131675F","C:\Windows\System32\drivers\ipfltdrv.sys"
"71A9D5D4DDCB1E4DE8310529A0CFB0666780C9108A810892A5302661ABA68897","C:\Windows\System32\drivers\IPMIDrv.sys"
"5830B1D00EEB38EA76D9A27A567125FBD8D972C2699AEEFF3100331C55604657","C:\Windows\System32\drivers\ipnat.sys"
"2628245D7886268F79B80907D364A6139312CFBC9D013AD9BFBD94C76FB49F6B","C:\Windows\System32\drivers\ipt.sys"
"F4DC0B159729D5404FEFB7784C6807DDE9B7C81B70CB21A2D34D31F321F17FCE","C:\Windows\System32\drivers\isapnp.sys"
"5E7ABCE438FF8A3E03F1C235685A95C9BC787B87854EFAF2C6EB5764B8269D4E","C:\Windows\System32\drivers\ItSas35i.sys"
"FAD240492829942947B860345F484DC7505186A8F95939887F745DBB806C3742","C:\Windows\System32\drivers\kbdclass.sys"
"0824BB6536E75FA98823724694557691232EC5FB47F6B1237F4841082D13839D","C:\Windows\System32\drivers\kbdhid.sys"
"76E0ECD9D0B6ACAB034A33C33A5F2FAE93BBAA55244719FB80BCF581281E0493","C:\Windows\System32\drivers\kdnic_legacy.sys"
"030FB78C8C7C1C63300508EED5B2BEEA463D8FA0DF9602FE6C5E40E0212B87F3","C:\Windows\System32\drivers\kdnic.sys"
"9EEBEB3AF74B1E21CE5F9D4AA73E043175DB9EFD42B0B6AD7095339670D93508","C:\Windows\System32\drivers\Kerb3961Kernel.sys"
"58850CC03388D42BAC6B054E21DCE1329300DC191DAE24CA0E317B12AD2A1A1C","C:\Windows\System32\drivers\kf1usb.sys"
"6D96E385651B4E2E3B1A3700C30CA2D179329DAE3AE20446F95765D213D3B6A4","C:\Windows\System32\drivers\kmpdc.sys"
"AC620CC7EA81F984ECC132198E6C2729ECB35154EE8D4FAA393F36478AB62FF8","C:\Windows\System32\drivers\KNetPwrDepBroker.sys"
"FCC24BCF8B9FF364276183E765B1F292A4E003D04211875FDECAFEAB84C178D6","C:\Windows\System32\drivers\ks.sys"
"2EA89A77C17AA0A2B8045F6B87348AB7F6BC7FE2CEECB76087061E9A9E3BB114","C:\Windows\System32\drivers\ksecdd.sys"
"AFC2E8ABB0F70CAF474EA95A1C67BFCCCD5F3D29A71516AA5A4D54EF81A08D7E","C:\Windows\System32\drivers\ksecpkg.sys"
"BD17231833AA369B3B2B6963899BF05DBEFD673DB270AEC15446F2FAB4A17B5A","C:\Windows\System32\drivers\KslD.sys"
"DF781FACF7225B5E8547178621021F4B90CE0C53B992A32FA8A7D76B25D35932","C:\Windows\System32\drivers\ksthunk.sys"
"84FE6093FF66332F462EDE6A879CBB8370A0DAAA786E1D39571F7AE86931A12A","C:\Windows\System32\drivers\kx1m2usb.sys"
"6C61E3FE91158365B2CE6EC13564E97B987A8E8B8C35042E36222F979DD1BBFD","C:\Windows\System32\drivers\l1vhlwf.sys"
"7B0D752D1A7FCBD6F712937CB3E176C5F74DA64D6BD158C02DAF96C6613E6680","C:\Windows\System32\drivers\l2bridge.sys"
"879E58A6C814AFEE5A98B286E6756833D93864339533947569E409A36F93721F","C:\Windows\System32\drivers\lltdio.sys"
"2D3860A83B5E12C355A1F6F6DD7D61A41C0BA05950510D0655457B97584E4CC4","C:\Windows\System32\drivers\lsi_sas.sys"
"B0CFED90A269FC79767F2012C64BD256451FEAB1948FDE416DAFF95A85FF8A69","C:\Windows\System32\drivers\lsi_sas2i.sys"
"AA3F0407E20A2D7E90D412F4325FB0D7124F12EEC4215CD32A7DF9AA5322D135","C:\Windows\System32\drivers\lsi_sas3i.sys"
"6D3E7E6E69FA8F94568CBDB67B0B19CBB2DC43002BD8504F88C9AE809CFCFA5C","C:\Windows\System32\drivers\luafv.sys"
"195BA4B95D98399F7E39B03D2FEF2CBF2B68D4145A91D3E4C9E0BDA5FC2A9F55","C:\Windows\System32\drivers\lxcore.sys"
"6D134588769505412E64B5C523D3D76B8C84CD521E44DED68A88C72C6098E9EB","C:\Windows\System32\drivers\lxss.sys"
"540F267B02E2E860C7897995B867A1FCEB0933B5F094F960B4099069C0D69702","C:\Windows\System32\drivers\mausbhost.sys"
"85B81C766FC18AB9396120ADE393B8D69E42B809D57FCF721FA0265E10D1373E","C:\Windows\System32\drivers\mausbip.sys"
"0417E282A2A9BFADECFE8485C443ADC72314EC2CA2D5C1E29DCB282BFC56BCB3","C:\Windows\System32\drivers\MbbCx.sys"
"A2077D1F2E2DC70535CCC135E672ED3C11FBBD76A03CEE3EFA2EFFA5CB3D6EC0","C:\Windows\System32\drivers\McAfeeIntegrationDriver.sys"
"9E0D0CAACAA4CD61FD5A1E4F6EEE63DCAC894D92059C916D9968A5081225851F","C:\Windows\System32\drivers\mcd.sys"
"03713BDCD061CF24D8DC4D8B4CD250E28A5946C384E60644CB4328DC42B8F50D","C:\Windows\System32\drivers\MegaSas2i.sys"
"EF1AA5EB345A92A1B657A4D010500BBD1EC731B8EC22A35472F5D2DA96138EC6","C:\Windows\System32\drivers\megasas35i.sys"
"6CA30A0B91DD54EDD33C3EC41E6922D329ED38C4955E38C04745328961B31974","C:\Windows\System32\drivers\megasr.sys"
"DD7EA9DE66AA58EA1A02B0B24A6FB6BCC4BA00E3CF00BF364D413A94DA510F38","C:\Windows\System32\drivers\Microsoft.Bluetooth.AvrcpTransport.sys"
"16EA07DF7714C4BFBB50AFEF54395E4E35CAB58454A5A331C59A997135BE7209","C:\Windows\System32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys"
"211BDC6BB0720EE7221D77F205BD828AB4172AC4F454877BEAF5E3D74419442C","C:\Windows\System32\drivers\mlx4_bus.sys"
